route_key,lane_key,source_country,destination_country,source_city,destination_city,lane_country,standard_distance_km,operating_region,lane_city
1,GE-CZ-HAM-BRN,Germany,Czech Republic,Berlin,Brno,Germany → Czech Republic,1569,East,Berlin → Brno
2,NE-PO-ROT-GDA,Netherlands,Poland,Rotterdam,Poznan,Netherlands → Poland,1586,West,Rotterdam → Poznan
3,AU-CZ-GRA-PRA,Netherlands,Czech Republic,Amsterdam,Brno,Austria → Czech Republic,1526,West,Amsterdam → Brno
4,FR-BE-LIL-GHE,France,Belgium,Paris,Antwerp,France → Belgium,1302,West,Paris → Antwerp
5,BE-FR-BRU-MAR,Belgium,France,Brussels,Paris,Belgium → France,1221,West,Brussels → Paris
6,PO-SP-WAR-MAD,Netherlands,Spain,Rotterdam,Valencia,Poland → Spain,286,South,Rotterdam → Valencia
7,CZ-AU-PRA-VIE,Belgium,Austria,Antwerp,Graz,Czech Republic → Austria,1327,West,Antwerp → Graz
8,PO-BE-POZ-BRU,Germany,Belgium,Munich,Antwerp,Poland → Belgium,1418,West,Munich → Antwerp
9,NE-SP-UTR-VAL,Netherlands,Spain,Rotterdam,Madrid,Netherlands → Spain,276,South,Rotterdam → Madrid
10,SP-GE-VAL-MUN,Belgium,Germany,Antwerp,Hamburg,Spain → Germany,293,West,Antwerp → Hamburg
11,AU-SP-VIE-VAL,Germany,Spain,Munich,Barcelona,Austria → Spain,818,South,Munich → Barcelona
12,GE-SP-DOR-ZAR,Germany,Spain,Berlin,Valencia,Germany → Spain,227,South,Berlin → Valencia
13,AU-SP-LIN-ZAR,Belgium,Spain,Antwerp,Barcelona,Austria → Spain,253,South,Antwerp → Barcelona
14,CZ-GE-OST-BER,Germany,Germany,Hamburg,Frankfurt,Czech Republic → Germany,1122,West,Hamburg → Frankfurt
15,PO-AU-WRO-VIE,Netherlands,Austria,Rotterdam,Vienna,Poland → Austria,404,West,Rotterdam → Vienna
16,CZ-IT-OST-BOL,Belgium,Italy,Brussels,Milan,Czech Republic → Italy,291,South,Brussels → Milan
17,PO-AU-GDA-LIN,Germany,Austria,Berlin,Graz,Poland → Austria,1613,East,Berlin → Graz
18,CZ-GE-PRA-DOR,France,Germany,Marseille,Berlin,Czech Republic → Germany,1543,West,Marseille → Berlin
19,PO-IT-WAR-TUR,Belgium,Italy,Antwerp,Turin,Poland → Italy,1026,South,Antwerp → Turin
20,BE-SP-BRU-VAL,Belgium,Spain,Brussels,Barcelona,Belgium → Spain,1457,South,Brussels → Barcelona
21,SP-BE-ZAR-ANT,Poland,Belgium,Warsaw,Antwerp,Spain → Belgium,600,West,Warsaw → Antwerp
22,FR-AU-MAR-GRA,Belgium,Austria,Antwerp,Vienna,France → Austria,788,West,Antwerp → Vienna
23,GE-PO-BER-GDA,Germany,Poland,Berlin,Wroclaw,Germany → Poland,1412,East,Berlin → Wroclaw
24,BE-GE-GHE-MUN,Belgium,Germany,Brussels,Frankfurt,Belgium → Germany,1272,West,Brussels → Frankfurt
